A,V,0.014733974345026308
A,Q,1.3968788243795518
A,W,2.246572687450821
A,V,0.014733974345026308
V,T,1.4002885595476375
V,J,1.5139774271765067
T,E,1.3000127153224308
E,Y,1.21937233444096
E,L,0.5967425743149214
W,G,1.194484742472669
W,S,1.5648216543747084
S,N,0.29489172589274215
N,I,1.7994903528499413
N,O,1.2112143204239316
Y,B,0.2528626702382164
Y,Z,0.41968903964721177
B,X,0.6133793687433609
B,K,0.39844098684748785
Z,R,0.6280545278875102
Z,X,0.7107262834593918
Z,H,0.9054778903982132
Z,G,0.8083177840428853
K,J,0.4411636657749603
K,X,0.5147044297458532
J,P,0.31941324330716087
J,X,0.44896134577489094
P,X,0.32842376588791494
P,G,0.5341800632745496
G,X,0.45914743819387627
G,Z,0.8083177840428853
G,C,0.4262656683337289
G,O,0.5039451656678503
G,F,0.7812470543944465
F,R,0.20848896853311188
F,O,0.5900054660763738
O,C,0.20080022410346066
O,N,1.2112143204239316
R,I,2.4936369021972706
R,H,0.588155302619981
H,L,1.9348868003064181
L,U,1.4697398035026434
L,M,4.155509202251878
U,M,4.587685019702204
M,D,2.102823361578426
D,I,1.0649725865016435
